,compound_id,base_rdkit_smiles,relation,pXC50,active
0,CHEMBL3422242,Cc1cc([C@H]2C[C@H]3[C@@H](C)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)on1,<,4.522878745280337,0
1,CHEMBL502182,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F,,4.251811972993799,0
2,CHEMBL389608,COc1cccc(N2C(=O)N(Cc3ccccc3F)C3(CCN(Cc4ccc(-c5cccnc5)cc4)CC3)C2=O)c1,,5.958607314841775,0
3,CHEMBL453384,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,<,4.0,0
4,CHEMBL1277312,O=C(O)C1CN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)C1,<,5.0,0
5,CHEMBL2057515,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(NCCCN(C)C)oc2c1,,6.698970004336019,0
6,CHEMBL399831,O[C@H]1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,,5.040958607678906,0
7,CHEMBL3325460,Cc1cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(C(F)(F)F)ccc43)cccc2cn1,<,4.698970004336019,0
8,CHEMBL2086757,CCN1CCC(Nc2ccc3c(c2)C(=C(c2cc(F)cc(F)c2)c2nc4ccccc4[nH]2)C(=O)N3)CC1,,5.221848749616356,0
9,CHEMBL4225434,COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(C)c1)[C@@](O)(CCN(C)C)c1cccc2c1OCO2,<,5.0,0
10,CHEMBL3326589,Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(C5CC5)ccc43)cccc2cn1,<,4.698970004336019,0
11,CHEMBL519383,COCCOc1cncc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,,4.853871964321762,0
12,CHEMBL237146,CCN(CC)[C@@H](CC(C)C)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,,5.568636235841013,0
13,CHEMBL2070143,CCCS(=O)(=O)c1ccc2[nH]c(-c3cccc(OC(F)(F)F)c3)nc2c1,,5.0,0
14,CHEMBL3961189,C=CN(C=N)C(c1ccccc1)c1ccc(-c2ccccc2)cc1,,6.096910013008056,0
15,CHEMBL601821,NCC(=O)N1CCn2c(nc(-c3ccccc3)c2Nc2ccc3c(c2)OCO3)C1,<,5.0,0
16,CHEMBL1910120,CC(=O)N1CCN(C(=O)CN2Cc3c(nc(C)c(CN)c3-c3ccc(Cl)cc3Cl)C2=O)CC1,<,4.769551078621726,0
