,compound_id,base_rdkit_smiles,relation,pXC50,active
0,CHEMBL231334,CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(C)CC3)cc1,,4.920818753952375,0
1,CHEMBL3287851,CC(C)(C)C[C@H]1C[C@@H](c2cc(=O)[nH]o2)CCN1,<,1.6989700043360187,0
2,CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,,5.127999984783137,0
3,CHEMBL565362,CC1(CC(=O)NCc2ccc(Br)cc2F)CC2(CCCCC2)OO1,,5.356547323513811,0
4,CHEMBL2165506,CC(C)(C(N)=O)N1CCN(Cc2cc3nc(-c4cc(F)cc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,,7.805594293263237,1
5,CHEMBL2441831,Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)C(=O)N(c1ccn(C)n1)C2,,4.9586073148417755,0
6,CHEMBL1080244,CCN(C[C@H](C)NC(=O)OCc1cncs1)C[C@H](C)NC(=O)OCc1nccs1,<,5.522878745280337,0
7,CHEMBL1923642,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(F)cc2OCCN[C@@H](C2CC2)C(=O)N1C,,5.920818753952375,0
8,CHEMBL1223237,c1ccc(Cn2nnnc2C(c2ccc3occc3c2)N2CCCN(C3CCC3)CC2)cc1,,5.619788758288393,0
9,CHEMBL3809786,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(C)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,<,5.0,0
10,CHEMBL3785321,Cc1ccoc1C(=O)Nc1ccc(N2Cc3c(Cl)cccc3C2=O)c(Cl)c1,<,4.5228787452803365,0
11,CHEMBL2048187,COc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,,4.911954370472159,0
12,CHEMBL2336413,O=C(N[C@H](Cc1cc2oc(=O)[nH]c2cc1Cl)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2Cc3ccccc3NC2=O)CC1,,4.648686839208824,0
