,compound_id,base_rdkit_smiles,relation,pXC50,active
0,CHEMBL1537880,Cc1ccc(-c2nnc(C)c(N3CC(C)OC(C)C3)n2)cc1,,5.3,0
1,CHEMBL1515033,CS(=O)(=O)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1,,5.1,0
2,CHEMBL3422242,Cc1cc([C@H]2C[C@H]3[C@@H](C)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)on1,<,4.522878745280337,0
3,CHEMBL1526043,N#Cc1cccc(-c2nc3cnc(N4CCOCC4)nc3n(C3CC3)c2=O)c1,,4.4,0
4,CHEMBL3145019,Cc1nn(C(C)(C)C)c(O)c1Sc1ccc(Cl)cc1,,4.8,0
5,CHEMBL502182,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F,,4.251811972993799,0
6,CHEMBL3216313,CN(C)CCN1CCCc2cc(N=C(N)c3cccs3)ccc21,<,4.0,0
7,3035746,N/C(=N/CCc1ccc(I)cc1)SCCCc1cnc[nH]1,,6.10002,0
8,CHEMBL1586504,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)COC(=O)CCC(=O)c1cccs1,,4.95,0
9,CHEMBL389608,COc1cccc(N2C(=O)N(Cc3ccccc3F)C3(CCN(Cc4ccc(-c5cccnc5)cc4)CC3)C2=O)c1,,5.95907154322785,0
10,CHEMBL1365504,COc1ccc(-c2c(C(C)=O)c(O)c(O)n2CCCn2ccnc2)cc1,,4.9,0
11,CHEMBL1526607,CCN1C(O)[C@H]2CCc3c(NOC[C@@H](C)[C@H](OCc4ccccc4)C(C)C)cc(O)c(O)c3[C@@H]2C1O,,5.4,0
12,CHEMBL453384,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,<,4.0,0
13,CHEMBL1559472,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccc(Cl)cc1,,5.45,0
14,CHEMBL1395394,COc1cc2c(cc1O)[C@H]1Cc3ccc(OC)c(O)c3CN1CC2,,4.9,0
15,CHEMBL1277312,O=C(O)C1CN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)C1,<,5.0,0
16,CHEMBL1819091,CC[C@@]1(N)CCCN(c2cc3c(c(=O)n(C)c(=O)n3C)n2Cc2cc(F)ccc2C#N)C1,,10.66,1
17,CHEMBL1571734,Cc1ccc(NC(=S)N2CCN(CCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)cc1,,5.35,0
18,CHEMBL1437442,NNC(=O)CCSc1ccccc1,,5.4,0
19,CHEMBL1605811,CC1CCCN(C(=O)c2sc3cc([N+](=O)[O-])ccc3c2Cl)C1,,4.75,0
20,CHEMBL2057515,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(NCCCN(C)C)oc2c1,,6.699313336224012,0
21,CHEMBL3260493,Cc1ccc(Nc2cc(C(=O)N3Cc4ccccc4C3)c(O)cc2O)cc1,,4.79,0
22,CHEMBL1370255,Cn1c(=O)[nH]c(=O)c2c1nc(CN(Cc1ccccc1)Cc1ccccc1)n2CCN1CCOCC1,,5.35,0
23,CHEMBL1490656,Cc1cc(NC(=O)c2c(F)cccc2F)n(-c2nc3ccccc3[nH]2)n1,,5.45,0
24,CHEMBL1367387,COc1ccc(Nc2ncc3c(n2)CC(c2ccc(C)cc2)CC3=O)cc1,,5.05,0
25,CHEMBL1544379,CCOc1cc(C2CC(=O)c3c(ccc4ccccc34)N2)ccc1O,,5.0,0
26,CHEMBL1554018,CC(=O)NCCNc1ncncc1-c1ccccc1C(F)(F)F,,6.0,0
27,CHEMBL1317950,Clc1ccc(CC[C@H](Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,,7.0,0
28,CHEMBL1491271,Cc1cccc(NC(=S)Nc2ccc(Br)cc2)c1,,4.6,0
29,CHEMBL1405892,Fc1cccc(Cl)c1CSc1nc[nH]n1,,5.35,0
30,117443,O[C@H]1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,,4.9424279116636045,0
31,CHEMBL3325460,Cc1cc2c(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(C(F)(F)F)ccc43)cccc2cn1,<,4.698970004336019,0
32,CHEMBL1360594,O=C(CCCCCCCCCCCCC1CCCC1)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)CCCCCCCCCCCCC3CCCC3)cc2)cc1,,4.5,0
33,CHEMBL2086757,CCN1CCC(Nc2ccc3c(c2)C(=C(c2cc(F)cc(F)c2)c2nc4ccccc4[nH]2)C(=O)N3)CC1,,5.2209243748081775,0
34,CHEMBL4225434,COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(C)c1)[C@@](O)(CCN(C)C)c1cccc2c1OCO2,<,5.0,0
35,CHEMBL3326589,Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(C5CC5)ccc43)cccc2cn1,<,4.698970004336019,0
36,CHEMBL519383,COCCOc1cncc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,,4.852581309547841,0
37,CHEMBL2043144,O=C(O)C(=O)/C=C(\O)c1cc(Cc2ccc(F)cc2F)cn(Cc2ccccc2F)c1=O,<,3.6989700043360187,0
38,CHEMBL1401324,c1ccc(N2CCN(CCCOc3ccc4c(c3)OCO4)CC2)cc1,,5.5,0
39,CHEMBL1487191,COc1ccc(-c2nc3cnc(OC)nc3n(Cc3cccs3)c2=O)cc1,,5.4,0
40,CHEMBL237146,CCN(CC)[C@@H](CC(C)C)c1cccc(F)c1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,,5.569090823894008,0
41,CHEMBL1376958,CCSc1nnc(C(N)Cc2ccccc2)o1,,4.95,0
42,CHEMBL1409782,COC(=O)c1c[nH]nc1NC(=S)Nc1ccccc1C,,5.85,0
43,CHEMBL1437138,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@@H]1C[C@@]1(C)[C@@H](NC(=O)c1cccnc1)c1ccccc1,,5.6,0
44,CHEMBL2070143,CCCS(=O)(=O)c1ccc2[nH]c(-c3cccc(OC(F)(F)F)c3)nc2c1,,5.0,0
45,CHEMBL3961189,C=CN(C=N)C(c1ccccc1)c1ccc(-c2ccccc2)cc1,,6.096910013008056,0
46,CHEMBL1315690,COCCn1c(=O)c(-c2cccc(C#N)c2)nc2cnc(N3CCNCC3)nc21,,4.7,0
47,CHEMBL1682903,CC(C)C(O)(c1ccc2cc3c(cc2c1)CN(C)C3=O)c1cnc[nH]1,,5.267606240177032,0
48,CHEMBL2381078,Cc1cnn(-c2ccc(C)nc2C(=O)N2CC3(CC3)C[C@H]2CNc2ccc(C(F)(F)F)cn2)c1,,6.12,0
49,CHEMBL1407910,Fc1ccc2c(c1)C(c1ccncc1)=NNC(c1ccc(Cl)cc1)=N2,,5.75,0
50,CHEMBL376103,CN(C)CC[C@@H](c1ccccc1)c1ccccn1,,6.0,0
51,CHEMBL1571758,Cn1cc(C(F)(F)F)nc1-c1ccc(OC[C@@H](O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,,4.9,0
52,CHEMBL601821,NCC(=O)N1CCn2c(nc(-c3ccccc3)c2Nc2ccc3c(c2)OCO3)C1,<,5.0,0
53,CHEMBL1455043,O=C(c1cc(-c2ccccc2)nc2ccccc12)N1CCC2(CC1)OCCO2,,4.6,0
54,CHEMBL1910120,CC(=O)N1CCN(C(=O)CN2Cc3c(nc(C)c(CN)c3-c3ccc(Cl)cc3Cl)C2=O)CC1,<,4.769551078621726,0
55,CHEMBL1455106,CCOc1ccc(N(CCC#N)S(=O)(=O)c2ccc(OC)cc2)cc1,,4.95,0
56,CHEMBL1396358,CCCC/C=C/C(NC(=O)c1ccco1)c1ccccc1,,5.3,0
57,CHEMBL1551231,COC(=O)N1CCC2(CCCN(C(=O)Nc3ccc(OC)cc3)C2)CC1,,4.6,0
58,CHEMBL1724898,COc1ccc(CCNC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1OC,,4.8,0
59,CHEMBL1498835,CCNC(=O)CN1c2cccc3cccc(c23)S1(=O)=O,,4.7,0
60,CHEMBL2407954,Cc1cc(/C(CC(c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccccc2C)=N/O)ccn1,<,4.301029995663981,0
61,24937637,CC(C)(C(N)=O)N1CCN(Cc2cc3nc(-c4cc(C#N)cc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,,6.349824380589536,0
62,CHEMBL1358215,COCCn1c(=O)c(-c2cccs2)nc2cnc(N(C)C)nc21,,5.1,0
63,2574,NCCC(=O)NCCc1cnc[nH]1,,4.4,0
64,CHEMBL1335052,Cc1cccc(-c2noc(-c3cc4ccccc4oc3=O)n2)c1,,5.05,0
65,56954137,COc1ccc2nc(SCc3ccc(OCc4ccccc4)cc3)[nH]c2c1,,5.448550001013563,0
66,CHEMBL1592202,CS(=O)(=O)N1CCC[C@@]2(CCN(Cc3nccs3)C2)C1,,4.9,0
67,CHEMBL1555677,CCCCCOC(=O)CSc1nnc(-c2ccccc2)c(O)n1,,4.65,0
68,CHEMBL1592364,COc1ccccc1CN1CCCC2(CCN(C(=O)c3c(C)noc3C)CC2)C1,,5.0,0
69,CHEMBL3192006,COC(=O)c1ccccc1/N=C/C1CC=c2c(c(C)nn2-c2ccccn2)=C1O,,4.85,0
70,CHEMBL2337921,CSc1cnc(NC(=O)[C@H](CC2CCCC2)c2ccc(S(C)(=O)=O)c(Cl)c2)cn1,,4.42,0
71,CHEMBL1081505,Cc1cccc(C)c1CNc1cccc2c1nc(C)n2C,,4.993938046084613,0
72,CHEMBL1557599,O=C(CSc1nc2ccccc2c(=O)n1CCCC(=O)N1CCCC1)NCc1ccco1,,5.2,0
73,CHEMBL1460723,COc1ccccc1C1CC(c2c(O)nc3ccc(Cl)cc3c2-c2ccccc2)=NN1S(C)(=O)=O,,4.4,0
74,CHEMBL3408955,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5[C@@H](C)CN(C)C[C@H]5C)cc4)n[nH]c3c1)C(=O)N2,,5.3979400086720375,0
75,CHEMBL1445685,COc1ccc(/C(C#N)=C/c2c(-c3ccc(Cl)cc3)nc3c(C)cccn23)cc1,,5.55,0
76,CHEMBL1318056,Cc1noc(C)c1-c1cncnc1N(C)Cc1ccco1,,5.5,0
77,CHEMBL554041,CCCCC(CC)C/N=C(N)/N=C(/N)NCCCCCCN/C(N)=N\C(N)=N\CC(CC)CCCC,,4.6,0
78,CHEMBL1314833,Cc1ccc(S(=O)(=O)N[C@H]2COC(=O)[C@@H](C)COC(=O)C=CC[C@H]2C)cc1,,5.4,0
79,CHEMBL560386,COc1cccc2c1O[C@@H](c1ccc(OCCCN3CCCC3)cc1)[C@H](C)S2(=O)=O,<,5.0,0
80,CHEMBL1402241,COc1cccc([C@H]2Oc3ccc(OC)cc3C(NOC[C@@H](O)[C@@H]3O[C@@H]4OC(C)(C)O[C@@H]4[C@H]3O)C2=O)c1,,5.4,0
81,CHEMBL1438689,O=c1n(Cc2cc3c(cc2Cl)OCO3)c(=O)n2n1CC[C@H]1/C(=N\OC[C@@H](O)COCc3ccco3)[C@H]3O[C@@H]3[C@@H](O)[C@@H]12,,5.4,0
82,CHEMBL235658,O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,,4.5,0
83,CHEMBL2387588,O=c1[nH]c2cc(-c3ccc(Cl)cc3)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,<,4.522878745280337,0
84,CHEMBL1088255,COc1cccc(CNCCCNc2ccnc3cc(Cl)ccc23)c1O,,6.6,0
85,CHEMBL1364517,O=C(CSc1ccc(Cl)cc1)Nc1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1,,6.05,0
86,CHEMBL1414493,O=C(NCCCn1ccnc1)c1ccc(Br)c(S(=O)(=O)N2CCOCC2)c1,,5.7,0
87,CHEMBL3775476,O=C1COc2ccc(CN3c4ccccc4COc4cc(F)ccc43)cc2N1,,5.25617677839625,0
88,CHEMBL1473965,COc1ccc(-n2c(=O)cnc3cnc(Nc4ccccc4)nc32)cc1,,6.7,0
89,CHEMBL1317058,CC(=O)Oc1ccc2c(c1C(C)C)CCC1C(C)(C)CCC[C@@]21C,,4.4,0
90,CHEMBL4276988,CCC[C@@H](CCO)Nc1nc(N)nc2c1CN(C(=O)c1csc(C)n1)CC2,<,5.0,0
91,CHEMBL2152524,c1ccc([C@@H]([C@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,,4.900000094705089,0
92,CHEMBL491273,O=C(CCN1C(=O)c2ccccc2C1=O)N1CCCCC1,,1.3,0
93,CHEMBL3941727,COc1cc(-c2ccc(Cl)c(C)c2)c(F)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3ncccn3)ccc21,,4.1999419839820655,0
94,CHEMBL2409710,C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(C(F)(F)F)cc3)CC2)NC(=O)NC1=O,<,4.3979400086720375,0
95,CHEMBL1443021,CCCC(=O)N=C1C(c2cccs2)C(=O)c2ccccc2N1CC,,4.6,0
96,CHEMBL242711,O=c1ccc2c(O)c3ccoc3cc2o1,,4.668967974675245,0
97,CHEMBL1950078,COc1ccc(C(O)c2c3cc(OC)cc(C)c3nc3[nH]nc(C)c23)cc1,,6.574898411947361,0
98,CHEMBL87355,CN(C)CCCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,,4.7697007190811505,0
99,CHEMBL4176100,Cc1ccncc1-c1ccc(CN)s1,,4.431798275933005,0
100,CHEMBL3954973,Cc1ccc(-n2nccn2)c(C(=O)N2CCOC[C@H]2Cc2cccc(-n3cccn3)c2)n1,<,4.301029995663981,0
101,CHEMBL2070154,CCS(=O)(=O)c1ccc2nc(-c3cccc(-c4ccccc4)n3)[nH]c2c1,,5.111754637413759,0
