compound_id,base_rdkit_smiles,relation,pXC50,active,rdkit_smiles,Compound_ID,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
CHEMBL1537880,Cc1ccc(-c2nnc(C)c(N3CC(C)OC(C)C3)n2)cc1,,5.3,0,Cc1ccc(-c2nnc(C)c(N3CC(C)OC(C)C3)n2)cc1,WNUWUYIZADTROQ-UHFFFAOYSA-N,5.3,,0,0
CHEMBL1515033,CS(=O)(=O)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1,,5.1,0,CS(=O)(=O)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1,LFQJIVPPRFXMAC-AWEZNQCLSA-N,5.1,,0,0
CHEMBL3422242,Cc1cc([C@H]2C[C@H]3[C@@H](C)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)on1,<,4.522878745,0,Cc1cc([C@H]2C[C@H]3[C@@H](C)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)on1,HVEVDFRWOQHAPJ-CKMNQQOVSA-N,4.522878745,,0,0
CHEMBL1526043,N#Cc1cccc(-c2nc3cnc(N4CCOCC4)nc3n(C3CC3)c2=O)c1,,4.4,0,N#Cc1cccc(-c2nc3cnc(N4CCOCC4)nc3n(C3CC3)c2=O)c1,QIZLBSOCEJVBTG-UHFFFAOYSA-N,4.4,,0,0
CHEMBL3145019,Cc1nn(C(C)(C)C)c(O)c1Sc1ccc(Cl)cc1,,4.8,0,Cc1nn(C(C)(C)C)c(O)c1Sc1ccc(Cl)cc1,IYIGLQSFYOLXCS-UHFFFAOYSA-N,4.8,,0,0
CHEMBL502182,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F,,4.251811973,0,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F,HEAUOKZIVMZVQL-VWLOTQADSA-M,4.251811973,,0,0
CHEMBL3216313,CN(C)CCN1CCCc2cc(N=C(N)c3cccs3)ccc21,<,4,0,CN(C)CCN1CCCc2cc(N=C(N)c3cccs3)ccc21,XIDAMGZTWAFOAK-UHFFFAOYSA-N,4,,0,0
3035746,N/C(=N/CCc1ccc(I)cc1)SCCCc1cnc[nH]1,,6.10002,0,N/C(=N/CCc1ccc(I)cc1)SCCCc1cnc[nH]1,UBHYDQAARZKHEZ-UHFFFAOYSA-N,6.10002,,0,0
CHEMBL1586504,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)COC(=O)CCC(=O)c1cccs1,,4.95,0,Cc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)COC(=O)CCC(=O)c1cccs1,PWSJZJDELBVCRV-UHFFFAOYSA-N,4.95,,0,0
CHEMBL389608,COc1cccc(N2C(=O)N(Cc3ccccc3F)C3(CCN(Cc4ccc(-c5cccnc5)cc4)CC3)C2=O)c1,,5.959071543,0,COc1cccc(N2C(=O)N(Cc3ccccc3F)C3(CCN(Cc4ccc(-c5cccnc5)cc4)CC3)C2=O)c1,OAQMOBFXPMYRII-UHFFFAOYSA-N,5.959071543,,0,0
CHEMBL1365504,COc1ccc(-c2c(C(C)=O)c(O)c(O)n2CCCn2ccnc2)cc1,,4.9,0,COc1ccc(-c2c(C(C)=O)c(O)c(O)n2CCCn2ccnc2)cc1,GPIZJMXQESBTAK-UHFFFAOYSA-N,4.9,,0,0
