,compound_id,base_rdkit_smiles,relation,pXC50,active,datasource
0,CHEMBL231334,CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(C)CC3)cc1,,4.920818753952375,0,chembl
1,CHEMBL2018912,COc1ccc2[nH]c(SCC3CCCCC3)nc2c1,,5.205511953340831,0,chembl
2,CHEMBL3287851,CC(C)(C)C[C@H]1C[C@@H](c2cc(=O)[nH]o2)CCN1,<,1.6989700043360187,0,chembl
3,CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,,5.127999984783137,0,chembl
4,CHEMBL565362,CC1(CC(=O)NCc2ccc(Br)cc2F)CC2(CCCCC2)OO1,,5.356547323513812,0,chembl
5,CHEMBL2165506,CC(C)(C(N)=O)N1CCN(Cc2cc3nc(-c4cc(F)cc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,,6.292429823902063,0,chembl
6,CHEMBL1080244,CCN(C[C@H](C)NC(=O)OCc1cncs1)C[C@H](C)NC(=O)OCc1nccs1,<,5.522878745280337,0,chembl
7,CHEMBL2441831,Cc1nc2c(c(-c3ccc(Cl)cc3Cl)c1CN)C(=O)N(c1ccn(C)n1)C2,,4.958607314841775,0,chembl
8,CHEMBL2338421,O=C(N/N=C/c1ccc2no[n+]([O-])c2c1)c1ccncc1,<,4.698970004336019,0,chembl
9,CHEMBL1923642,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(F)cc2OCCN[C@@H](C2CC2)C(=O)N1C,,5.920818753952375,0,chembl
10,CHEMBL2087168,CCN1CCC(Nc2ccc3c(c2)C(=C(c2cc(F)cc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,,5.0,0,chembl
11,CHEMBL3964719,O=C(c1ccccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-c2ncon2)c1,<,4.301029995663981,0,chembl
12,CHEMBL1223237,c1ccc(Cn2nnnc2C(c2ccc3occc3c2)N2CCCN(C3CCC3)CC2)cc1,,5.619788758288394,0,chembl
13,CHEMBL3809786,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(C)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,<,5.0,0,chembl
14,CHEMBL3947458,CC(C)c1nc2ccc(Cl)cc2c(-c2ccccc2)c1C(=O)O,<,4.301029995663981,0,chembl
15,CHEMBL3785321,Cc1ccoc1C(=O)Nc1ccc(N2Cc3c(Cl)cccc3C2=O)c(Cl)c1,<,4.522878745280337,0,chembl
16,CHEMBL4092008,O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(F)c2F)cn2ncnc12,<,4.522878745280337,0,chembl
17,CHEMBL2048187,COc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,,4.911954370472159,0,chembl
18,CHEMBL3895947,C[C@@H]1c2ncn(-c3ccc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,,5.368437761525845,0,chembl
19,CHEMBL2336413,O=C(N[C@H](Cc1cc2oc(=O)[nH]c2cc1Cl)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2Cc3ccccc3NC2=O)CC1,,4.718394062809846,0,chembl
20,CHEMBL3182315,CCn1nc(C)c(CNC(=O)c2ccc(OC)c(OC3CCN(C(C)C)CC3)c2)c1C,<,4.522878745280337,0,chembl
21,CHEMBL2021600,C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ncc(C(F)(F)F)cc2F)CC1)C(C)(C)C,<,4.619788758288394,0,chembl
22,CHEMBL1669405,CCN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1,<,5.0,0,chembl
23,CHEMBL3237564,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)cc1Nc1ccc2c(n1)CCC2,<,4.301029995663981,0,chembl
24,CHEMBL593375,Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1cnc2[nH]nc(C)c2c1,,6.0,0,chembl
25,CHEMBL3928571,CN[C@@H](C)C(=O)Nc1ccc(-c2c(-c3ccnc(OC)c3)nc3cc(C)ccn23)c(C#Cc2ccc3c(C)nccc3c2)n1,<,4.301029995663981,0,chembl
26,CHEMBL4072107,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@@H]2CCCN(O)C2)cc1F,,4.769551078621726,0,chembl
27,CHEMBL2409024,COCc1c(C(=O)NCc2ccncc2)cnn1-c1ncc(C)c(-c2cccs2)n1,,5.5376020021010435,0,chembl
28,CHEMBL4096241,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5cccnc5)CC4)ccc3C)cc12,,7.200659450546418,1,chembl
29,CHEMBL3359270,CCN1CCC[C@H]1CNC(=O)c1cn(C2CCCC2)c(=O)c2c1c1ccccc1n2C,,5.494850021680094,0,chembl
30,CHEMBL3409875,COc1cccc(F)c1C1C[C@@H](O)C(=O)N1Cc1ccc2oc3ccccc3c2c1,,4.337242168318426,0,chembl
31,CHEMBL1909725,CN(C)S(=O)(=O)NCCCCCNc1nc(-c2ccccn2)cs1,<,5.154901959985743,0,chembl
32,CHEMBL3353359,CN1CCN(Cc2ccc(/C=C/c3n[nH]c4cc([C@@H]5C[C@@]56C(=O)Nc5ccccc56)ccc34)cc2)CC1,<,5.0,0,chembl
33,CHEMBL2048293,N#Cc1cc(OC(F)(F)F)cc(-c2nc(-c3ccc4c(c3)cc3n4CCC3CC(=O)O)no2)c1,<,4.522878745280337,0,chembl
34,CHEMBL375166,Cc1n[nH]c(C)c1Cc1sc2c(c1C(=O)N1C[C@H](O)CO1)c(=O)n(C)c(=O)n2CC(C)C,,4.0,0,chembl
35,CHEMBL253968,O=C(Cn1cc(Nc2nncc3cc(OCCCN4CCC[C@@H]4CO)ccc23)cn1)Nc1cccc(F)c1F,<,5.0,0,chembl
36,CHEMBL1078232,O=C(CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1)N1CCOCC1,<,5.0,0,chembl
37,CHEMBL3137482,CC(C)(F)CN1CCC(N(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,,4.795880017344075,0,chembl
38,CHEMBL3818179,CN1CC[C@H](S(=O)(=O)c2c(Cl)ccc(NC(=O)Nc3cccc(Cl)c3Cl)c2O)C1,<,5.0,0,chembl
39,CHEMBL268764,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(C)cc(=O)nc1SCc1ccc(F)cc1,,4.657577319177793,0,chembl
40,CHEMBL60889,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,,6.154901959985743,0,chembl
41,CHEMBL229861,CC[C@H]1[C@@H]2[C@@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,<,4.3979400086720375,0,chembl
42,CHEMBL3605277,O=C(c1ccc(F)cc1)N1CCc2nc(COc3cccc(F)c3)oc2C1,<,4.522878745280337,0,chembl
43,CHEMBL550068,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCn2cccc2C1c1ccccc1,,5.603800652904264,0,chembl
44,CHEMBL1813484,CN1C[C@H]2CCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,<,4.6020599913279625,0,chembl
45,CHEMBL3916725,N#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4)c3F)c2c1,<,5.0,0,chembl
46,CHEMBL1818452,Cc1ccnn1CC12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,<,5.0,0,chembl
47,CHEMBL263179,CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cncs3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,,4.823908740944319,0,chembl
48,CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12,,5.364315237452778,0,chembl
49,CHEMBL1671877,O=c1cc(CCCC2CC2)c2c(=O)[nH]c(C(F)F)nc2o1,<,4.301029995663981,0,chembl
50,CHEMBL4102624,O=C1CCCC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)C1,<,4.698970004336019,0,chembl
51,CHEMBL4176494,CCCS(=O)(=O)NCCOc1ccc2c(c1)[C@@H](Cc1ccc(Cl)c(Cl)c1)[C@@H](N)CC2,<,5.0,0,chembl
52,CHEMBL519336,CS(=O)(=O)c1ccc2c(c1)CCC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,<,5.0,0,chembl
53,CHEMBL524472,C[C@@H](Nc1c(Nc2ccn[nH]2)c(=O)c1=O)c1ccccc1,,4.3979400086720375,0,chembl
54,CHEMBL3262028,COCCn1cc(-c2c(C)nc3c(N4CCOCC4)nccn23)cn1,<,5.0,0,chembl
55,CHEMBL497011,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,,4.974042230693232,0,chembl
56,CHEMBL1097426,Cc1cc(N2CCN(CCO)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,,5.481486060122113,0,chembl
57,CHEMBL2165175,Cc1cc(-c2cc(=O)[nH]c(NCc3cccc4ccccc34)n2)ccn1,,6.154901959985743,0,chembl
58,CHEMBL3353348,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN(C)C)cc4)n[nH]c3c1)C(=O)N2,,5.100819356853288,0,chembl
59,CHEMBL3702673,C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(-c5ccc(NC(=O)c6ccc(N)nc6)cc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1,<,4.6020599913279625,0,chembl
60,CHEMBL3288009,Cc1cccc2nc(C(=O)N[C@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6CCC(N7CCCC7)CC6)cc5)c4)CC3)cn12,<,6.0,0,chembl
61,CHEMBL1910120,CC(=O)N1CCN(C(=O)CN2Cc3c(nc(C)c(CN)c3-c3ccc(Cl)cc3Cl)C2=O)CC1,<,4.769551078621726,0,chembl
