,Unnamed: 0,compound_id,base_rdkit_smiles,relation,pXC50,active,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,VALUE_NUM_mean
0,0,CHEMBL248049,CC1CCC(=NNc2nc(-c3ccc(Cl)cc3)cs2)CC1,,4.81883551533424,0,,0.0,0,4.81883551533424
1,1,CHEMBL3942207,N#Cc1ccccc1S(=O)(=O)Nc1cccc(-c2ncc([C@H]3C[C@@H]3NC3CCC(N)CC3)s2)c1,,4.0,0,,0.0,0,4.0
2,2,CHEMBL3651121,Clc1ncccc1CN[C@H]1CC1c1ccccc1,,3.47212033409366,0,,0.0,0,3.47212033409366
3,3,CHEMBL4206777,NC(=O)c1ccc(OCc2cccc(C(F)(F)F)c2)cc1,<,4.0,0,,0.0,0,4.0
4,4,CHEMBL3771110,CC(=O)c1cccc(OCc2ccc(Cl)cc2)c1,,4.401895368041299,0,,0.0,0,4.401895368041299
5,5,CHEMBL446059,N[C@@H]1C[C@]1(F)c1ccc(C(F)(F)F)cc1,,4.11945760514614,0,,0.0,0,4.11945760514614
6,6,CHEMBL2391876,O=C1OCc2ccc(OCCCc3ccccc3)cc21,,7.01772876696043,1,,0.0,0,7.01772876696043
7,7,CHEMBL426110,O=C1/C(=C/c2ccc(O)cc2)Oc2cc(O)ccc21,,6.585026652029179,0,,0.0,0,6.585026652029179
8,8,CHEMBL3394496,COc1ccc(C2=NN(C(=O)CN3CCCCC3)C(c3cc(Cl)ccc3O)C2)cc1,,5.01547268665621,0,,0.0,0,5.01547268665621
9,9,CHEMBL4095676,Cc1c(C#N)c(=O)oc2cc(OCc3ccccc3)ccc12,,5.8601209135987595,0,,0.0,0,5.8601209135987595
10,10,CHEMBL2058412,CN1C(=N)N/C(=C\c2c[nH]c3ccc(Br)cc23)C1=O,,6.48545224733971,0,,0.0,0,6.486968164893139
11,11,CHEMBL4534960,COc1cccc2c1C(=O)O[C@H](C)C2,<,4.30102999566398,0,,0.0,0,4.30102999566398
12,12,CHEMBL568150,O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1,,3.7804154737857503,0,,0.0,0,3.7804154737857503
13,13,CHEMBL4465423,Cn1c(=O)c2c(nc3n2CCN(CCc2cccc(F)c2)C3)n(C)c1=O,<,5.0,0,,0.0,0,5.0
14,14,CHEMBL1170237,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,,6.62708799702989,0,,0.0,0,6.62708799702989
15,15,CHEMBL3629813,C=CCc1cc(OC)c2oc(=O)c(C(=O)/C=C/c3c(/C=C/c4ccc(OC)cc4)cc(OC)cc3OC)cc2c1,,5.27572413039921,0,,0.0,0,5.27572413039921
16,16,CHEMBL4449776,C#CCN1CCC(/C=C/c2ccc(C3CC3)cc2)CC1,,4.6868818453515395,0,,0.0,0,4.6868818453515395
17,17,1249836,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,,5.98296777380081,0,,0.0,0,5.98296777380081
18,18,CHEMBL3133249,COc1cc(/C=C/c2ccc(OCCN(C)Cc3ccccc3)cc2)cc(OC)c1,<,4.0,0,,0.0,0,4.0
19,19,CHEMBL4470448,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO)c4)CC3)cc2oc1=O,,6.2596373105057594,0,,0.0,0,6.2596373105057594
20,20,CHEMBL1242992,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,,5.31847971523986,0,,0.0,0,5.31847971523986
21,21,CHEMBL3350351,C[C@@H]1CCC(=NNc2nc(-c3ccc(F)cc3F)cs2)C1,,4.8093882021864,0,,0.0,0,4.8093882021864
22,22,CHEMBL4446827,COc1ccc2c(c1O)OC[C@H]1c3cc4c(cc3O[C@@H]21)OCO4,,4.69250396208679,0,,0.0,0,4.69250396208679
23,23,CHEMBL1830792,CC(=O)c1cc2cccc(O)c2oc1=O,,4.40329660682713,0,,0.0,0,4.40329660682713
24,24,CHEMBL4281066,CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccc(F)c(F)c3)CC2)cc(C(C)(C)C)c1O,,4.19044028536473,0,,0.0,0,4.19044028536473
25,25,CHEMBL246809,Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,,5.69828806164646,0,,0.0,0,5.69828806164646
26,26,CHEMBL3264955,CC1CC/C(=N\Nc2nc(-c3ccc(F)cc3)cs2)C1,,5.72353819582676,0,,0.0,0,5.72353819582676
27,27,CHEMBL4462827,CCc1cc(C)c2c(c1O)C(=O)O[C@H](C)C2,,5.53760200210104,0,,0.0,0,5.53760200210104
28,28,CHEMBL1253763,CC1CCC(=NNc2nc(-c3ccc(C#N)cc3)cs2)CC1,,5.15263711987784,0,,0.0,0,5.15263711987784
29,29,CHEMBL3961103,C#CCN(CCCC1CCN(Cc2ccccc2)CC1)Cc1ccc2cccc(O)c2n1,,4.43179827593301,0,,0.0,0,4.43179827593301
30,30,CHEMBL387778,CCCCSc1ccc(C[C@H](C)N)cc1,,7.035,1,,0.0,0,7.035
31,31,57379977,O=c1ccoc2ccc(OCc3ccc(Br)cc3)cc12,,7.022277596474099,1,,0.0,0,7.022277596474099
